Продукт,Белки,Жиры,Углеводы,Калорийность
Рисовая каша на молоке,2.5,3.1,16.0,97
Рисовая манка Гарнец безглютеновая,7.0,0.5,78.0,340
Рисовые отруби,13.4,20.9,28.9,316
Рисовые хлопья,7.0,2.0,77.0,360
Рисовые хлопья Myllyn Paras,7.0,1.0,77.0,360
Рисовые хлопья Myllyn Paras для каши,7.0,1.0,77.0,360
Рожь (зерна),9.9,2.2,55.8,283
Саго,1.0,0.7,85.0,350
Смесь 5 видов отрубей Верное средство,15.0,4.5,15.0,150
Смесь бобовых Мистраль,22.6,1.6,48.5,299
Смесь из 3-х видов отрубей Myllyn Paras,16.6,6.1,34.1,255
Смесь пропаренного и дикого риса Увелка,7.0,1.0,78.0,350
Смесь чечевицы Мистраль для супов и гарниров,24.5,1.2,54.6,327
Сорго зерновое,11.8,3.3,66.4,323
Талкан пшеничный,11.5,1.3,64.0,324
Талкан-шифа 4 злака,10.6,2.7,60.5,309
Теф,13.3,2.4,73.1,367
Толокно,12.5,6.0,64.9,363
Толокно гречневое Ваше здоровье из томленого зерна,12.6,3.3,57.1,308
Толокно кукурузное Ваше здоровье из томленого зерна,8.3,1.2,71.0,328
Толокно овсяное Ваше здоровье,11.5,6.0,52.1,306
Толокно овсяное Гарнец,12.2,5.8,68.3,357
Тритикале,12.8,2.1,54.5,274
Фасоль Агро-Альянс Black Eye (Черный глаз),23.0,1.0,60.0,340
Фасоль Агро-Альянс белая,21.0,2.0,62.0,350
Фасоль Агро-Альянс красная Red Kidney,21.0,2.0,62.0,350
Фасоль Мистраль Микс,22.0,1.7,63.3,327
Фасоль Увелка пурпурная Кидни,21.0,2.0,47.0,290
Хлопья 4-х зерновые Myllyn Paras,11.4,2.8,51.1,320
Хлопья Makfa 4 злака,10.0,2.0,77.0,360
Хлопья Makfa 5 злаков,11.0,3.0,75.0,370
Хлопья Nestle Fitness из цельной пшеницы,8.3,2.0,76.4,357
Хлопья Nestle Fitness с тёмным шоколадом,8.0,6.7,72.9,384
Хлопья Nestle Fitness с фруктами,6.4,2.6,75.7,352
Хлопья Агро-Альянс 4 злака,12.0,3.0,73.0,390
Хлопья Агро-Альянс 5 злаков,12.0,3.0,70.0,370
Хлопья Алтайская Сказка 9 злаков,11.3,2.8,65.8,334
Хлопья красной чечевицы Myllyn Paras,25.0,0.0,52.0,320
Хлопья Мистраль смесь 5 злаков,10.1,3.8,76.3,365
Хлопья Пассим Три злака,10.0,3.6,63.0,334
Хлопья Пассим Четыре злака,10.3,3.2,61.0,322
Хлопья Увелка 5 злаков Доброе утро,14.0,3.5,68.0,370
Хлопья Увелка 5-ти зерновые тонкие,11.0,2.0,75.0,360
Хлопья Царь 4 злака,11.0,2.5,66.0,330
Хлопья Царь 5 злаков,10.2,1.5,73.2,308
Хлопья Царь 5 злаков с ягодами,8.5,1.5,62.0,300
Хлопья Царь 7 злаков,10.0,2.5,64.0,340
Хлопья Ясно солнышко 7 злаков,11.0,3.0,64.0,340
Чечевица Агро-Альянс красная,26.0,2.0,57.0,350
Чечевица Агро-Альянс Элитная,28.0,2.0,58.0,360
Чечевица Мистраль Канадская зелёная крупная,19.4,1.1,66.6,328
Чечевица Мистраль Персидская красная колотая,25.0,1.1,53.0,322
Чечевица Мистраль Турецкая жёлтая колотая,22.3,0.1,65.5,332
Чечевица Фермер зелёная,24.0,1.1,53.7,284
Ячменная каша,11.5,2.0,65.8,310
Ячменная крупа,10.0,1.3,71.7,324
Ячменные хлопья,9.8,3.6,79.4,355
Ячменные хлопья Myllyn Paras,11.0,2.0,63.0,320
Ячневая каша на воде,2.3,0.3,15.7,76
Ячневая каша на молоке,3.6,2.0,19.8,111
Ячневая крупа,10.4,1.3,66.3,324
Ячневая крупа Makfa в пакетиках,10.0,1.3,65.4,313
Жир бараний топлёный,0.0,99.7,0.0,897
Жир говяжий топлёный,0.0,99.7,0.0,897
Жир из печени трески,0.0,99.8,0.0,898
Жир кондитерский для шоколадных изделий,0.0,99.7,0.0,897
Жир кондитерский твердый,0.0,99.8,0.0,898
Жир костный топлёный,0.0,99.7,0.0,897
Жир кулинарный,0.0,99.7,0.0,897
Жир куриный,0.0,99.7,0.0,897
Жир рыбий,0.0,100.0,0.0,902
Жир свиной топлёный,0.0,99.6,0.0,896
Маргарин низкокалорийный,0.5,60.0,0.7,545
Маргарин Славянский,0.3,82.0,0.1,743
Маргарин сливочный,0.5,82.0,0.0,745
Маргарин столовый молочный,0.3,82.0,1.0,743
Маргарин столовый Сливочник 40%,0.0,40.0,0.0,360
Маргарин Экстра,0.5,82.0,1.0,744
Масло абрикосовое,0.0,99.9,0.0,899
Масло авокадо,0.0,100.0,0.0,884
Масло амаранта,0.0,81.8,0.0,736
Масло арахисовое,0.0,99.9,0.0,899
Масло арахисовое PB2 сухое обезжиренное,37.5,8.3,37.5,375
Масло виноградных косточек,0.0,99.9,0.0,899
Масло горчичное,0.0,99.8,0.0,898
Масло грецкого ореха,0.0,99.8,0.0,898
Масло гхи,0.0,100.0,0.0,902
Масло зародышей пшеницы,0.0,100.0,0.0,884
Масло иланг-иланга,0.0,99.0,0.0,890
Масло какао,0.0,99.9,0.0,899
Масло канолы,0.0,99.0,0.0,898
Масло кедрового ореха,0.0,99.0,0.0,898
Масло кокосовое,0.0,99.9,0.0,899
Масло кокосовое Nutiva с ароматом сливочного масла,0.0,100.0,0.0,923
Масло конопляное,0.0,99.9,0.0,899
Масло кукурузное,0.0,99.9,0.0,899
Масло кунжутное,0.0,99.9,0.0,899
Масло лимонное,0.0,100.0,0.0,900
Масло льняное,0.0,99.8,0.0,898
Масло макадамии,9.2,74.6,10.0,708
Масло маковое,0.0,99.8,0.0,898
Масло миндальное,0.0,90.7,0.0,816
Масло мускатного ореха,0.0,100.0,0.1,899
Масло облепиховое,0.0,99.5,0.0,896
Масло овсяное,0.0,99.0,0.0,890
Масло оливковое,0.0,99.8,0.0,898
Масло оливковое Filippo Berio Olive Oil,0.0,91.3,0.0,822
Масло оливковое Monini Classico Extra Vergine,0.0,100.0,0.0,900
Масло ореховое,0.0,100.0,0.0,899
Масло пальмовое,0.0,99.9,0.0,899
Масло подсолнечное,0.0,99.9,0.0,900
Масло рапсово-соевое,0.0,99.9,0.0,899
Масло рапсовое,0.0,99.9,0.0,899
Масло растительное нерафинированное,0.0,99.0,0.0,899
Масло растительное рафинированное,0.0,99.0,0.0,899
Масло расторопши,0.0,98.0,0.0,889
Масло репейное,0.0,100.0,0.0,930
Масло рисовое Kohinoor Rice Bran Oil,0.0,91.5,0.0,824
Масло рыжиковое,0.0,99.0,0.0,900
Масло сафлоровое,0.0,100.0,0.0,880
Масло сливочное,0.5,82.5,0.8,748
Масло сливочное 60%,1.3,60.0,1.7,552
Масло сливочное 67%,1.0,67.0,1.6,610
Масло сливочное Брест-Литовск несолёное 72.5%,0.8,72.5,1.3,661
Масло сливочное Валио 82%,0.7,82.0,0.7,740
Масло сливочное Вкуснотеево традиционное 82.5%,0.6,82.5,0.8,748
Масло сливочное крестьянское несолёное 72.5%,1.0,72.5,1.4,662
Масло сливочное крестьянское солёное 72.5%,1.0,72.5,1.4,662
Масло сливочное шоколадное,1.5,62.0,18.6,642
Масло сливочное шоколадное Избёнка (ВкусВилл) 62%,1.2,62.0,19.6,644
Масло соевое,0.0,99.9,0.0,899
Масло топлёное,0.2,99.0,0.0,892
Масло тыквенное,0.0,99.5,0.0,896
Масло хлопковое,0.0,99.0,0.0,899
Масло ши (карите),0.0,98.0,0.0,884
Масло шишек хмеля,0.0,99.0,0.0,897
Спред растительно-жировой Нежный,0.0,40.0,0.0,360
Тахина,24.0,62.0,10.0,695
Actimel Вишня,2.9,1.5,11.5,74
Actimel Гранат,2.7,1.5,11.5,73
Actimel Земляника и шиповник,2.7,1.5,11.5,73
Actimel Клубника,2.7,1.5,11.5,72
Actimel Малина и клюква,2.7,1.5,11.5,72
Actimel Мультифрукт,2.7,1.5,12.0,75
Actimel Натуральный,2.8,1.6,10.5,71
Actimel Черника и ежевика,2.9,1.5,11.5,74
Exponenta High-Pro Черника-Алоэ,12.0,0.0,2.5,60
Fruttis Сливочное лакомство Клубника-Земляника,2.2,5.0,17.0,122
Neo Имунеле Natural,1.8,0.9,11.8,63
Neo Имунеле Гранат-Вишня,2.5,1.2,12.4,70
Neo Имунеле Клюква-Малина,2.5,1.2,12.6,71
Neo Имунеле Лесные ягоды,2.5,1.2,13.1,73
Айран (тан) газированный,1.1,1.5,1.4,24
Айран (тан) из козьего молока,1.1,1.5,1.4,24
Айран (тан) негазированный,1.1,1.5,1.4,24
Айран (тан) негазированный нежирный,1.1,0.2,1.4,12
Айран (тан) с укропом и огурцом,1.1,1.0,1.4,19
Айран (тан) сильногазированный,1.1,1.0,1.4,19
Активиа Быстрый завтрак Клубника,4.3,2.8,20.9,127
Активиа Быстрый завтрак Натуральный,4.8,3.1,14.4,107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша,3.6,3.1,16.7,110
Активиа Кефирная 1%,2.9,1.0,4.5,39
Активиа Кефирная 3%,2.9,3.0,3.6,53
Активиа Момент удовольствия Вишня,4.3,2.7,13.7,97
Активиа Момент удовольствия Земляника,4.3,2.7,12.9,97
Активиа Питьевая Ананас,2.8,2.0,12.2,77
Активиа Питьевая Бифидойогурт Классический 1.5%,3.4,1.5,4.4,45
Активиа Питьевая Вишня и чёрная смородина,2.6,2.0,12.8,81
Активиа Питьевая Злаки,2.8,2.2,12.4,81
Активиа Питьевая Клубника и земляника,2.8,2.2,12.4,81
Активиа Питьевая Малина и злаки,2.8,2.1,11.0,74
Активиа Питьевая Натуральная,3.2,2.4,4.5,52
Активиа Питьевая Тыква банан и корица,2.9,2.1,10.9,74
Активиа Питьевая Чернослив,2.8,2.0,12.8,80
Активиа Питьевая Яблоко и злаки,2.8,2.2,13.0,83
Активиа Семейная Клубника,3.9,3.2,13.6,98
Активиа Семейная Персик,3.9,3.2,13.6,98
Активиа Творожная Клубника,5.0,4.5,15.5,123
Активиа Творожная Малина,4.2,4.5,11.4,102
Активиа Творожная Мюсли,5.0,4.5,15.5,123
Активиа Творожная Мюсли и манго,4.8,4.5,14.7,119
Активиа Творожная Натуральная,5.9,4.5,3.7,79
Активиа Творожная Отруби и злаки,4.9,4.3,13.7,113
Активиа Творожная Чернослив,4.7,4.2,14.4,114
Активиа Фреш Арбуз,2.8,1.6,12.3,74
Активиа Фреш Вишня,2.8,1.6,11.0,70
Активиа Фреш Гранат и Малина,2.8,1.6,11.0,70
Активиа Фреш Манго,2.8,1.6,12.0,73
Активиа Фреш Персик,2.8,1.6,11.0,70
Актуаль на сыворотке вкус арбуза,0.5,0.1,8.6,37
Ацидофилин 0.1%,3.0,0.1,3.9,31
Ацидофилин 1%,3.0,1.0,4.0,40
Ацидофилин 3.2%,2.8,3.2,3.8,57
Ацидофилин 3.2% сладкий,2.8,3.2,8.6,77
Ацидофилин Останкинский 2.5%,2.8,2.5,4.2,51
Биойогурт Активиа Виноград Манго Папайя Семена Чиа,4.1,2.9,10.8,86
